,Date,5,10,20,40,60,ticker
0,2015/1/5,,,,,,510050.SH
1,2015/1/6,,,,,,510050.SH
2,2015/1/7,,,,,,510050.SH
3,2015/1/8,,,,,,510050.SH
4,2015/1/9,,,,,,510050.SH
5,2015/1/12,18.2659907,,,,,510050.SH
6,2015/1/13,18.30713204,,,,,510050.SH
7,2015/1/14,19.83283519,,,,,510050.SH
8,2015/1/15,28.79842638,,,,,510050.SH
9,2015/1/16,28.68588134,,,,,510050.SH
10,2015/1/19,85.64963712,58.45133427,,,,510050.SH
11,2015/1/20,86.82677095,59.1764842,,,,510050.SH
12,2015/1/21,100.0407965,68.33039808,,,,510050.SH
13,2015/1/22,95.06394835,66.99890761,,,,510050.SH
14,2015/1/23,95.36323004,67.20579257,,,,510050.SH
15,2015/1/26,39.93964307,67.01160518,,,,510050.SH
16,2015/1/27,45.72109253,67.50703162,,,,510050.SH
17,2015/1/28,17.15789761,67.83286869,,,,510050.SH
18,2015/1/29,18.79420483,64.61096692,,,,510050.SH
19,2015/1/30,9.887553213,64.15464139,,,,510050.SH
20,2015/2/2,9.896341492,38.72981697,48.84542028,,,510050.SH
21,2015/2/3,35.37313861,41.63682638,50.40766011,,,510050.SH
22,2015/2/4,35.31769974,26.40174611,50.50420787,,,510050.SH
23,2015/2/5,34.54510004,26.23004562,49.83267209,,,510050.SH
24,2015/2/6,34.242381,24.34164835,49.82297054,,,510050.SH
25,2015/2/9,30.59601347,27.74023289,50.39525098,,,510050.SH
26,2015/2/10,24.28059741,29.65013672,50.86150529,,,510050.SH
27,2015/2/11,20.76004898,29.38221289,50.87871689,,,510050.SH
28,2015/2/12,18.37049854,28.23289186,48.84287621,,,510050.SH
29,2015/2/13,12.13502061,27.27315787,48.73584252,,,510050.SH
30,2015/2/16,9.806390032,21.52699767,30.88384012,,,510050.SH
31,2015/2/17,3.697267479,16.61122124,30.87990029,,,510050.SH
32,2015/2/25,14.90508552,17.49425055,22.87589518,,,510050.SH
33,2015/2/26,28.68772889,22.71199754,26.19754664,,,510050.SH
34,2015/2/27,29.63674128,21.67705753,25.9036191,,,510050.SH
35,2015/3/2,29.66007479,20.86118063,25.92460755,,,510050.SH
36,2015/3/3,38.65511488,26.62790422,27.64927107,,,510050.SH
37,2015/3/4,36.83379325,26.49052851,27.26763681,,,510050.SH
38,2015/3/5,21.37737896,27.0150195,26.91965146,,,510050.SH
39,2015/3/6,22.90413289,26.99772125,26.53427406,,,510050.SH
40,2015/3/9,32.80963317,30.15081137,25.6969686,39.14732688,,510050.SH
41,2015/3/10,25.12430499,30.87534253,24.35139646,39.23172568,,510050.SH
42,2015/3/11,25.5620761,29.92319915,23.88171914,39.29209446,,510050.SH
43,2015/3/12,29.56519618,29.16641758,25.86291182,39.58427475,,510050.SH
44,2015/3/13,29.45658101,29.06680725,25.35792527,39.58684834,,510050.SH
45,2015/3/16,28.75408969,31.00806457,25.76421366,39.92686495,,510050.SH
46,2015/3/17,18.16592847,24.37608047,25.5876516,40.02504434,,510050.SH
47,2015/3/18,17.69910858,25.62977999,26.84494789,40.54158959,,510050.SH
48,2015/3/19,23.02182371,25.01276621,27.2801375,39.59465303,,510050.SH
49,2015/3/20,22.16508791,24.85924883,27.7366746,39.82763419,,510050.SH
50,2015/3/23,21.12549753,23.97629384,27.95520226,29.30123888,,510050.SH
51,2015/3/24,28.54689965,23.45652714,28.81884622,29.61199196,,510050.SH
52,2015/3/25,25.51105106,26.39165964,28.43808068,26.16649263,,510050.SH
53,2015/3/26,26.06604033,23.86505427,26.6931804,26.38669109,,510050.SH
54,2015/3/27,22.8910281,23.90001872,26.50377795,26.29606359,,510050.SH
55,2015/3/30,32.02607038,26.45592119,28.47281866,27.51894182,,510050.SH
56,2015/3/31,31.23591928,28.26881825,25.70454299,27.35291769,,510050.SH
57,2015/4/1,27.24765139,26.72973524,25.77614187,27.24147046,,510050.SH
58,2015/4/2,29.14275181,26.17508461,25.19556272,26.82056776,,510050.SH
59,2015/4/3,28.95924935,25.52306622,25.14091477,26.5425536,,510050.SH
60,2015/4/7,24.41076257,26.93253528,25.14799739,25.62219889,35.81315467,510050.SH
61,2015/4/8,18.05205018,25.07414602,23.67559356,25.1525115,35.9018814,510050.SH
62,2015/4/9,22.8356348,23.780076,24.45692907,24.87631168,35.94425001,510050.SH
63,2015/4/10,20.03615102,24.245256,23.52896585,24.9272017,35.61828965,510050.SH
64,2015/4/13,20.21825962,24.07260846,23.63725514,24.74011884,35.76882712,510050.SH
65,2015/4/14,19.74875723,21.13009104,23.3039986,24.60565861,35.67567322,510050.SH
66,2015/4/15,18.44268596,17.91881643,23.31150976,24.47951422,35.62614979,510050.SH
67,2015/4/16,26.19251734,24.35971097,25.73201233,26.22540995,36.57310143,510050.SH
68,2015/4/17,26.29877768,22.13160679,24.79630031,26.22686816,35.99665614,510050.SH
69,2015/4/20,39.5966366,30.34676858,27.74516234,27.51074052,36.49355979,510050.SH
70,2015/4/21,39.46325231,29.44609786,27.65576082,27.51724754,28.74726942,510050.SH
71,2015/4/22,41.86958166,31.0695105,27.51692567,28.19912277,29.25176839,510050.SH
72,2015/4/23,35.16081847,31.36539013,27.10337649,27.8117208,27.2136847,510050.SH
73,2015/4/24,35.96072328,32.98945993,28.27028205,27.47255847,27.41219222,510050.SH
74,2015/4/27,31.77271852,33.89596796,28.77028753,27.74731789,27.76177859,510050.SH
75,2015/4/28,33.97042588,34.8580588,28.0876276,27.9835178,27.85285183,510050.SH
76,2015/4/29,25.05570218,35.18308974,27.36231468,26.24842312,27.55877478,510050.SH
77,2015/4/30,24.68650948,28.95595146,27.71478198,26.41802036,27.37521302,510050.SH
78,2015/5/4,22.32535907,28.36018731,27.35132201,25.95626413,26.99452416,510050.SH
