,Issuer
192,广东太安堂药业股份有限公司
193,泰禾集团股份有限公司
194,凯撒同盛发展股份有限公司
195,海航机场集团有限公司
196,四川省巨洋企业管理集团有限公司
197,天津渤海租赁有限公司
198,南山集团有限公司
199,启迪环境科技发展股份有限公司
200,重庆爱普地产(集团)有限公司
201,温州市铁路与轨道交通投资集团有限公司
202,渤海租赁股份有限公司
203,广州富力地产股份有限公司
204,山东晨鸣纸业集团股份有限公司
205,云南祥鹏航空有限责任公司
206,湘潭县建设投资有限公司
207,华晨汽车集团控股有限公司
208,恒大地产集团有限公司
209,深圳前海联捷商业保理有限公司
210,上海新黄浦实业集团股份有限公司
211,北京首都航空有限公司
212,河南盛润控股集团有限公司
213,福建福晟集团有限公司
214,上海巴安水务股份有限公司
215,苏宁易购集团股份有限公司
216,隆鑫控股有限公司
217,成龙建设集团有限公司
218,亿达发展有限公司
219,河南省煤气(集团)有限责任公司
220,河南能源化工集团有限公司
221,清华控股有限公司
222,永城煤电控股集团有限公司
223,湖北福星科技股份有限公司
224,山东宏桥新型材料有限公司
225,山东魏桥铝电有限公司
226,紫光国芯微电子股份有限公司
227,冀中能源股份有限公司
228,云南省城市建设投资集团有限公司
229,泛海控股股份有限公司
